,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
137,0.97148925,0.6136445,0.520549,0.30287114,81.14953
138,0.9563239,0.6087881,0.51994234,0.302742,81.13436
139,0.97421896,0.6180923,0.52388537,0.3047692,81.03579
140,0.9660297,0.61289144,0.522293,0.30379805,81.104034
141,0.97694874,0.61993366,0.5176676,0.30212045,81.1192
142,0.9705793,0.6172013,0.5202457,0.30269024,81.164696
143,0.97421896,0.617218,0.5219897,0.30373833,81.08887
144,0.96572644,0.61364985,0.52070063,0.3032224,81.104034
145,0.9818016,0.6212177,0.5203215,0.3028844,81.13436
146,0.97785866,0.62126917,0.5219897,0.30481842,80.9448
147,0.96845615,0.6142219,0.51524115,0.30034158,81.255684
148,0.9505611,0.60640097,0.51994234,0.30332643,81.04337
149,0.97270244,0.61692834,0.5191083,0.30273986,81.08887
150,0.9569305,0.60818493,0.5266151,0.3063705,80.929634
151,0.98119503,0.61941373,0.524037,0.30585617,80.891716
152,0.9799818,0.6204074,0.52100396,0.30385086,81.03579
153,0.96572644,0.6141677,0.52380955,0.3053996,80.9448
154,0.9708826,0.61753464,0.52585685,0.30607468,80.95238
155,0.96269333,0.6124233,0.5196391,0.30291614,81.08887
156,0.9808917,0.6215697,0.5196391,0.30208012,81.21777
157,0.9645132,0.6116111,0.5235062,0.30552125,80.90688
158,0.94722474,0.6002105,0.52365786,0.30467844,81.04337
159,0.95238096,0.6051165,0.5228996,0.30410895,81.08887
160,0.9699727,0.61492425,0.52070063,0.30315658,81.11162
161,0.9681529,0.61384493,0.51668185,0.30153057,81.164696
162,0.9642099,0.61263794,0.52244467,0.30400166,81.08887
163,0.9532909,0.610714,0.52214134,0.30410877,81.04337
164,0.9818016,0.61892897,0.5174401,0.30106455,81.26327
165,0.97421896,0.6180313,0.51850164,0.3019821,81.17228
166,0.95238096,0.6064041,0.52585685,0.30587846,80.967545
167,0.97634214,0.615332,0.5216864,0.30415305,81.028206
168,0.9730058,0.6158145,0.52016985,0.30291763,81.13436
169,0.9751289,0.6164406,0.52077645,0.30347967,81.066124
170,0.96633303,0.61175746,0.52100396,0.3037293,81.05096
171,0.97907186,0.62153745,0.5220655,0.30399555,81.05854
172,0.9690628,0.6138083,0.5160752,0.30049866,81.27085
173,0.96239007,0.61404216,0.51668185,0.30184823,81.1192
174,0.96148014,0.6107652,0.5251744,0.30606523,80.91447
175,0.9575372,0.6103879,0.5237337,0.30518728,80.967545
176,0.9687595,0.61236346,0.5185775,0.3023799,81.1192
177,0.9681529,0.61519253,0.51994234,0.30286378,81.126785
178,0.9711859,0.6183711,0.51668185,0.30142692,81.17228
179,0.970276,0.6143823,0.5232787,0.30522716,80.93722
180,0.96633303,0.61372447,0.5239612,0.30424166,81.126785
181,0.98271155,0.6203537,0.5202457,0.30324456,81.08128
182,0.96178347,0.6094857,0.52388537,0.3051055,80.990295
183,0.9766454,0.6230306,0.5232029,0.30421975,81.08128
184,0.9708826,0.6154633,0.5206248,0.30406395,80.990295
185,0.97209585,0.6174021,0.52085227,0.30431744,80.95996
186,0.9739157,0.6166937,0.51797086,0.30160293,81.21019
187,0.9699727,0.61993754,0.5219897,0.30376884,81.08887
188,0.95298755,0.6064597,0.51440704,0.29983297,81.2936
189,0.9824082,0.6230988,0.52274793,0.3045782,81.02062
190,0.9633,0.61294043,0.52009404,0.30301544,81.11162
191,0.9793752,0.62194294,0.52525026,0.30635554,80.87656
192,0.9699727,0.6166406,0.5197149,0.30314702,81.0737
193,0.970276,0.6130855,0.5177434,0.30140874,81.23294
194,0.9766454,0.6167453,0.52214134,0.3042417,81.028206
195,0.97725207,0.61674595,0.5203973,0.3029713,81.13436
196,0.9793752,0.62164897,0.5261601,0.30592284,80.98271
197,0.96178347,0.6112168,0.5219139,0.30340028,81.141945
198,0.9648165,0.610374,0.52441615,0.30565846,80.93722
199,0.97148925,0.6173564,0.51531696,0.30113477,81.141945
200,0.98210496,0.6222179,0.52092814,0.3035097,81.0737
201,0.9705793,0.6155159,0.52426445,0.30520734,80.990295
202,0.9499545,0.6043017,0.51797086,0.3016173,81.21019
203,0.97634214,0.6178182,0.52070063,0.3034408,81.08887
204,0.97270244,0.6191332,0.51865333,0.3019818,81.18745
205,0.96269333,0.611727,0.5220655,0.30365533,81.1192
206,0.96724296,0.61262155,0.522293,0.3043781,81.028206
207,0.9551107,0.60725224,0.5260843,0.30599865,80.967545
208,0.9690628,0.6120331,0.5239612,0.30463377,81.066124
209,0.9723992,0.6148371,0.5188808,0.3019691,81.19502
210,0.9557173,0.6086454,0.5198665,0.30247003,81.17986
211,0.9642099,0.6125061,0.5239612,0.30529624,80.95238
212,0.9730058,0.61971784,0.52525026,0.30623373,80.88414
213,0.97361237,0.61458594,0.51850164,0.30157888,81.23294
214,0.96360326,0.6139693,0.5189566,0.30266598,81.08887
215,0.97755533,0.6230098,0.51994234,0.30275658,81.13436
216,0.9717925,0.6184302,0.5212314,0.30376795,81.066124
217,0.96148014,0.6128116,0.5290415,0.30763558,80.88414
218,0.9748256,0.61976236,0.5153928,0.3003526,81.27085
219,0.9842281,0.62234324,0.52016985,0.30333546,81.0737
